County,Graduation Rate
Appling County,87.5
Atkinson County,94.2
Bacon County,95.9
Baker County,91.7
Baldwin County,84.8
Banks County,88.8
Barrow County,91
Bartow County,93.6
Ben Hill County,84.5
Berrien County,89.6
Bibb County,80.7
Bleckley County,92.9
Brantley County,94.1
Brooks County,87.5
Bryan County,93.4
Bulloch County,83.4
Burke County,87.5
Butts County,89.3
Calhoun County,88.4
Camden County,92.1
Candler County,94.9
Carroll County,93.4
Catoosa County,88.2
Charlton County,95.7
Savannah-Chatham County,90.1
Chattahoochee County,93.6
Chattooga County,79.6
Cherokee County,90.8
Clarke County,79.8
Clayton County,76
Clinch County,86.4
Cobb County,87.2
Coffee County,88.7
Colquitt County,84.2
Columbia County,92.3
Cook County,95.7
Coweta County,89.3
Crawford County,70.7
Crisp County,85.8
Dade County,84.1
Dawson County,95.6
Decatur County,88.9
DeKalb County,75.4
Dodge County,90.9
Dooly County,87.8
Dougherty County,86.2
Douglas County,87.7
Early County,81.3
Echols County,98
Effingham County,91
Elbert County,88.4
Emanuel County,88.8
Evans County,85.3
Fannin County,90.5
Fayette County,89.7
Floyd County,94.1
Forsyth County,96.4
Franklin County,90.3
Fulton County,87.7
Gilmer County,94.1
Glascock County,97.6
Glynn County,93.9
Gordon County,97
Grady County,92.3
Greene County,94.4
Gwinnett County,82.5
Habersham County,97.6
Hall County,87.3
Hancock County,87.1
Haralson County,96.6
Harris County,92.1
Hart County,97
Heard County,93.5
Henry County,87.6
Houston County,88.8
Irwin County,92.7
Jackson County,93.8
Jasper County,88.3
Jeff Davis County,93.6
Jefferson County,90.2
Jenkins County,81.7
Johnson County,87.5
Jones County,87
Lamar County,86.3
Lanier County,88
Laurens County,87.9
Lee County,93.6
Liberty County,92.1
Lincoln County,89.2
Long County,95.3
Lowndes County,92.4
Lumpkin County,98.4
Macon County,78.2
Madison County,95.3
Marion County,84.9
McDuffie County,83.3
McIntosh County,97.5
Meriwether County,81.6
Miller County,96
Mitchell County,90.9
Monroe County,91
Montgomery County,100
Morgan County,94.3
Murray County,97.3
Muscogee County,91.2
Newton County,89.1
Oconee County,98.3
Oglethorpe County,94.2
Paulding County,89.3
Peach County,84.1
Pickens County,94.9
Pierce County,93.5
Pike County,95.1
Polk County,87.5
Pulaski County,94.4
Putnam County,90.6
Quitman County,85.7
Rabun County,92.8
Randolph County,85.7
Richmond County,73.8
Rockdale County,82.1
Schley County,97.7
Screven County,92
Seminole County,90.9
Griffin-Spalding County,83.5
Stephens County,92.5
Stewart County,85.7
Sumter County,92.3
Talbot County,97.6
Taliaferro County,82.4
Tattnall County,88.3
Taylor County,85.5
Telfair County,90.5
Terrell County,88.9
Thomas County,90.2
Tift County,91
Toombs County,94.4
Towns County,91.1
Treutlen County,87.7
Troup County,85.9
Turner County,95.2
Twiggs County,76.2
Union County,94.1
Thomaston-Upson County,87.8
Walker County,90.7
Walton County,92.7
Ware County,90.3
Warren County,82.2
Washington County,93.2
Wayne County,93.8
Webster County,Too Few Students
Wheeler County,85.9
White County,93.8
Whitfield County,87.2
Wilcox County,97.6
Wilkes County,82.5
Wilkinson County,93.9
Worth County,85.7
Atlanta Public Schools,83.1
Bremen City,97.6
Buford City,95.9
Calhoun City,100
Carrollton City,91.1
Cartersville City,91.3
Chickamauga City,100
Commerce City,95.9
Dalton Public Schools,85.1
City Schools of Decatur,96.7
Dublin City,94.2
Gainesville City,87
Jefferson City,97.6
Marietta City,86.7
Pelham City,80.4
Rome City,92.9
Social Circle City,95.7
Thomasville City,80.3
Trion City,98.7
Valdosta City,90.4
Vidalia City,93.8
State Schools,16.7
