County,"2021 Reported Violent Crime, Murder","2021 Reported Violent Crime, Rape","2021 Reported Violent Crime, Robbery","2021 Reported Violent Crime, Aggravated Assault",2021 Total Violent Crimes Reported,"2021 Reported Violent Crimes, Percent","2021 Reported Violent Crime Rate per 100,000 Population","2021 Reported Property Crime, Burglary","2021 Reported Property Crime, Larceny","2021 Reported Property Crime, Motor Vehicle Theft",2021 Total Property Crimes Reported,"2021 Reported Property Crimes, Percent","2021 Reported Property Crime Rate per 100,000 Population",2019 Total Index Crimes Reported,2021 Total Index Crimes Reported,2020 Average Number of Months Reported,2021 Average Number of Months Reported,2019-2021 Percent Change in Total Crimes Reported,"2021 Total Index Crime Rate per 100,000 Population",2021 Rank of Rate
APPLING,0,11,1,47,59,21.9%,322.6,43,147,18,208,77.3%,"1,137.2",262,269,3,3,2.7%,"1,470.7",99
ATKINSON,0,2,1,15,18,24.0%,214.8,12,39,6,57,76.0%,680.2,42,75,4,4,78.6%,895.0,55
BACON,0,0,2,7,9,8.9%,81.7,20,60,12,92,91.1%,835.4,253,101,6,6,-60.1%,917.1,58
BAKER,0,0,0,0,0,-,0.0,0,0,0,0,-,0.0,0,0,0,0,-,0.0,1
BALDWIN,6,23,19,275,323,19.4%,718.4,147,"1,088",98,"1,333",80.2%,"2,965.0","1,190","1,662",10,10,39.7%,"3,696.8",156
BANKS,1,4,0,32,37,8.9%,190.6,42,316,22,380,91.1%,"1,957.4",254,417,12,12,64.2%,"2,147.9",135
BARROW,1,25,14,134,174,12.4%,199.5,121,"1,017",86,"1,224",86.9%,"1,403.5",432,"1,408",6,6,225.9%,"1,614.5",105
BARTOW,1,55,25,167,248,11.5%,225.0,203,"1,488",199,"1,890",87.4%,"1,715.0",647,"2,162",10,10,234.2%,"1,961.8",125
BEN HILL,0,8,8,92,108,17.3%,655.2,90,373,50,513,82.3%,"3,112.3",630,623,12,12,-1.1%,"3,779.7",157
BERRIEN,1,11,1,35,48,13.4%,247.7,61,226,22,309,86.6%,"1,594.7",510,357,7,7,-30.0%,"1,842.4",117
BIBB,46,66,162,"1,569","1,843",28.2%,"1,211.4",684,"3,259",700,"4,643",71.0%,"3,051.8","4,684","6,540",5,5,39.6%,"4,298.6",158
BLECKLEY,1,5,2,37,45,20.1%,348.2,20,138,20,178,79.5%,"1,377.3",248,224,12,12,-9.7%,"1,733.2",111
BRANTLEY,0,5,0,44,49,12.8%,254.7,53,238,41,332,86.5%,"1,725.4",226,384,11,11,69.9%,"1,995.6",126
BROOKS,0,8,0,19,27,18.1%,177.1,33,67,21,121,81.2%,793.8,395,149,4,4,-62.3%,977.5,61
BRYAN,2,20,6,49,77,14.9%,183.8,75,316,47,438,84.9%,"1,045.6",379,516,12,12,36.1%,"1,231.8",83
BULLOCH,3,38,32,101,174,12.8%,212.7,154,967,51,"1,172",86.4%,"1,432.8",579,"1,356",6,6,134.2%,"1,657.7",108
BURKE,3,5,2,36,46,9.1%,204.1,89,276,88,453,89.9%,"2,009.9",524,504,9,9,-3.8%,"2,236.2",138
BUTTS,3,6,3,39,51,15.5%,199.6,34,193,49,276,83.9%,"1,080.2",566,329,8,8,-41.9%,"1,287.6",84
CALHOUN,1,0,0,1,2,40.0%,32.4,1,0,1,2,40.0%,32.4,18,5,5,5,-72.2%,81.0,17
CAMDEN,0,2,1,4,7,9.6%,12.5,7,54,5,66,90.4%,118.3,331,73,2,2,-77.9%,130.9,23
CANDLER,0,5,0,17,22,10.6%,200.7,34,131,20,185,88.9%,"1,687.6",123,208,12,12,69.1%,"1,897.5",120
CARROLL,3,63,29,256,351,12.7%,286.4,327,"1,841",234,"2,402",86.7%,"1,959.8","1,910","2,770",9,9,45.0%,"2,260.1",140
CATOOSA,1,9,1,72,83,11.8%,121.6,105,429,82,616,87.6%,902.2,"1,134",703,12,12,-38.0%,"1,029.7",70
CHARLTON,0,0,1,2,3,5.2%,22.3,11,44,0,55,94.8%,408.4,194,58,4,4,-70.1%,430.7,31
CHATHAM,3,22,24,182,231,13.2%,79.3,164,"1,180",164,"1,508",86.5%,517.5,"7,659","1,744",6,6,-77.2%,598.5,39
CHATTAHOOCHEE,0,0,0,0,0,-,0.0,0,0,0,0,-,0.0,0,0,0,0,-,0.0,1
CHATTOOGA,0,10,0,33,43,12.3%,174.2,50,217,38,305,86.9%,"1,235.4",113,351,5,5,210.6%,"1,421.7",95
CHEROKEE,12,48,10,214,284,14.6%,105.0,175,"1,365",108,"1,648",84.6%,609.5,"1,140","1,949",10,10,71.0%,720.9,46
CLARKE,4,125,95,537,761,16.1%,591.5,414,"3,070",450,"3,934",83.3%,"3,057.9","5,081","4,720",9,9,-7.1%,"3,668.9",154
CLAY,0,1,0,2,3,21.4%,105.9,2,8,1,11,78.6%,388.4,13,14,6,6,7.7%,494.4,34
CLAYTON,33,112,263,"1,295","1,703",23.6%,576.1,633,"4,031",822,"5,486",76.0%,"1,855.9","5,034","7,219",6,6,43.4%,"2,442.2",142
CLINCH,0,2,1,2,5,7.7%,76.3,12,42,5,59,90.8%,900.5,154,65,9,9,-57.8%,992.1,66
COBB,35,212,278,"1,402","1,927",13.9%,250.5,"1,346","9,385","1,178","11,909",85.8%,"1,548.1","15,256","13,884",8,8,-9.0%,"1,804.8",116
COFFEE,2,9,4,68,83,16.9%,192.2,64,300,44,408,82.9%,944.8,527,492,6,6,-6.6%,"1,139.3",76
COLQUITT,3,10,8,71,92,13.9%,202.4,57,473,39,569,85.8%,"1,252.0",588,663,6,6,12.8%,"1,458.8",98
COLUMBIA,0,1,5,19,25,15.7%,15.2,19,104,10,133,83.6%,81.0,858,159,7,7,-81.5%,96.9,19
