,line,__fileposition__
1,"1GRAND RAPIDS,MI,16,20250316",0
2,"WEST COVINA,CA,14,20250301",29
3,"LA CROSSE,WI,14,20250314",56
4,"JACKSONVILLE,FL,17,20250223",81
5,"SAINT ALBANS,VT,14,20250312",109
6,"CINCINNATI,OH,17,20250314",137
7,"HYATTSVILLE,MD,15,20250306",163
8,"PHILADELPHIA,PA,13,20250308",190
9,"LEAVITTSBURG,OH,15,20250314",218
10,"CINCINNATI,OH,17,20241225",246
11,"NASHVILLE,TN,14,20250311",272
12,"TAMPA,FL,16,20250317",297
13,"CITRUS HEIGHTS,CA,15,20241218",318
14,"SAN FRANCISCO,CA,16,20250313",348
15,"FRESNO,CA,14,20250305",377
16,"SYLVA,NC,16,20250317",399
17,"MOUNT VERNON,IL,17,20250214",420
18,"ALBANY,NY,14,20250314",448
19,"QUINCY,MA,31,20010413",470
20,"ALEXANDRIA,VA,17,20250315",492
21,"HUNTSVILLE,AL,16,20250312",518
22,"LANCASTER,OH,17,20250315",544
23,"OAKLAND,CA,16,20250311",569
24,"DENVER,CO,17,20240101",592
25,"RENO,NV,17,20241020",614
26,"CHATTANOOGA,TN,17,20250222",634
27,"SALT LAKE CITY,UT,16,20250314",661
28,"MUNCIE,IN,9,20200111",691
29,"PENSACOLA,FL,16,20250307",712
30,"PHILADELPHIA,PA,15,20250311",737
31,"ATLANTA,GA,15,20250305",765
32,"INDIANAPOLIS,IN,14,20250315",788
33,"TAMPA,FL,17,20240912",816
34,"ANSONIA,CT,6,20191129",837
35,"SPRINGFIELD,MA,17,20241120",859
36,"DEARBORN HEIGHTS,MI,16,20250314",886
37,"NICHOLASVILLE,KY,16,20250313",918
38,"SALISBURY,MD,61,19810714",947
39,"PHOENIX,AZ,17,20250311",972
40,"FLUSHING,NY,16,20250307",995
41,"MEDFORD,MA,14,20250313",1019
42,"TOLEDO,OH,16,20250306",1042
43,"CHERRY HILL,NJ,15,20250314",1064
44,"BUCKEYE,AZ,17,20250127",1091
45,"BRIDGEPORT,CT,17,20250314",1114
46,"LA PUENTE,CA,15,20250307",1140
47,"SAN ANTONIO,TX,15,20250305",1165
48,"HOUSTON,TX,16,20250307",1192
49,"TULSA,OK,17,20250311",1215
50,"SOUTH BEND,IN,15,20250301",1236
51,"YOUNGSTOWN,OH,17,20250311",1262
52,"LOUISVILLE,KY,14,20250305",1288
53,"GRIFFITH,IN,16,20250308",1314
54,"AUSTIN,TX,15,20250313",1338
55,"BRENTWOOD,CA,12,20250103",1360
56,"MARLBOROUGH,MA,14,20250311",1385
57,"LYNN,MA,15,20250212",1412
58,"LAS VEGAS,NV,17,20240604",1432
59,"SEATTLE,WA,18,20241221",1457
60,"SAHUARITA,AZ,17,20240919",1480
61,"TOLEDO,OH,15,20250303",1505
62,"TOLEDO,OH,17,20250313",1527
63,"LEBANON,TN,17,20250308",1549
64,"PHOENIX,AZ,16,20250226",1572
65,"CATONSVILLE,MD,16,20250310",1595
66,"OMAHA,NE,15,20250307",1622
67,"PORT LAVACA,TX,17,20250310",1643
68,"PHOENIX,AZ,15,20250312",1670
69,"RIVERDALE,IL,17,20250309",1693
70,"AURORA,CO,15,20250228",1718
71,"BEAVER DAM,WI,16,20250202",1740
72,"PLYMOUTH,IN,16,20250216",1766
73,"NEW YORK,NY,16,20250312",1790
74,"CANTON,TX,14,20250310",1814
75,"WARWICK,RI,16,20250223",1836
76,"NEENAH,WI,16,20250307",1859
77,"WAILUKU,HI,17,20250226",1881
78,"LAS VEGAS,NV,16,20250202",1904
79,"LANCASTER,CA,16,20250304",1929
80,"DENVER,CO,16,20250305",1954
81,"CHICAGO,IL,16,20250312",1976
82,"TUCSON,AZ,14,20250227",1999
83,"CLEVELAND,OH,18,20250306",2021
84,"MESA,AZ,17,20241203",2046
85,"BELMONT,NC,16,20250224",2066
86,"BRONX,NY,14,20250214",2089
87,"DENVER,CO,17,20250119",2110
88,"HOUSTON,TX,16,20250310",2132
89,"VAN NUYS,CA,16,20250214",2155
90,"SPRINGFIELD,MA,16,20250311",2179
91,"CINCINNATI,OH,16,20250309",2206
92,"LONG BEACH,CA,17,20241201",2232
93,"CENTRALIA,WA,16,20250308",2258
94,"LOS ANGELES,CA,17,20250226",2283
95,"MINNEAPOLIS,MN,14,20250213",2310
96,"KAPOLEI,HI,13,20250311",2337
97,"MEMPHIS,TN,16,20250309",2360
98,"MISSION,TX,17,20250303",2383
99,"CINCINNATI,OH,17,20250310",2406
100,"LAS VEGAS,NV,16,20250118",2432
101,"WOODLAND HILLS,CA,14,20250208",2457
102,"PONDER,TX,16,20250224",2487
103,"FRESNO,CA,17,20250301",2509
104,"FRESNO,CA,15,20250227",2531
105,"WEBSTER,NY,17,20250308",2553
106,"VICTORVILLE,CA,19,20071023",2576
107,"ORANGE,CA,15,20250306",2603
108,"PRUDENVILLE,MI,15,20230628",2625
109,"MUSKOGEE,OK,14,20250227",2652
110,"CHAMPAIGN,IL,16,20250123",2676
111,"LYNWOOD,CA,17,20240801",2701
112,"DALLAS,TX,15,20250113",2724
113,"LANCASTER,CA,15,20250213",2746
114,"CLEVELAND,OH,17,20250127",2771
115,"FREDERICA,DE,17,20250228",2796
116,"YOUNGSTOWN,OH,17,20250220",2821
117,"INDEPENDENCE,MO,16,20241221",2847
118,"KLAMATH FALLS,OR,15,20250226",2875
119,"CANYON,TX,17,20250305",2904
120,"TAMPA,FL,17,20250222",2926
121,"INDIAN ORCHARD,MA,14,20250209",2947
122,"CHICAGO,IL,16,20250301",2977
123,"PRUDENVILLE,MI,16,20230628",3000
124,"LAKE VILLA,IL,16,20250308",3027
125,"TUSTIN,CA,17,20250307",3053
126,"PHILADELPHIA,PA,14,20250305",3075
127,"MOUNT VERNON,MO,17,20250308",3103
128,"BAY MINETTE,AL,17,20250303",3131
129,"KEY BISCAYNE,FL,5,20240222",3158
130,"DAYTON,OH,14,20250303",3185
131,"DENVER,CO,17,20250307",3207
132,"SAN TAN VALLEY,AZ,15,20250309",3229
133,"FORT WORTH,TX,14,20250301",3259
134,"CARUTHERSVILLE,MO,16,20250207",3285
135,"PROVIDENCE,RI,14,20250308",3315
136,"HONOLULU,HI,5,20200112",3341
137,"SPRINGFIELD,TN,23,20040325",3364
138,"DECATUR,GA,17,20250128",3391
139,"ROCHESTER,NY,14,20250219",3414
140,"TOLEDO,OH,17,20250302",3439
141,"DECATUR,MS,19,20240504",3461
142,"ARLINGTON,TX,16,20250303",3484
143,"TOLEDO,OH,14,20250307",3509
144,"TAMPA,FL,16,20250308",3531
145,"NASHVILLE,TN,15,20250226",3552
146,"FORT MYERS,FL,15,20250129",3577
147,"ATLANTA,GA,15,20250210",3603
148,"VISALIA,CA,17,20250228",3626
149,"PORTSMOUTH,OH,17,20250305",3649
150,"ANCHORAGE,AK,17,20250121",3675
151,"ORLANDO,FL,16,20250308",3700
152,"JONESBORO,GA,16,20250304",3723
153,"TUCSON,AZ,17,20250306",3748
154,"LAS VEGAS,NV,12,20250306",3770
155,"BIRMINGHAM,AL,18,20231006",3795
156,"PHILADELPHIA,PA,16,20250213",3821
157,"BROCKTON,MA,16,20250127",3849
158,"FAULKNER,MD,16,20250301",3873
159,"FINDLAY,OH,17,20250226",3897
160,"OMAHA,NE,17,20250131",3920
161,"BRONX,NY,13,20250220",3941
162,"CLEVELAND,OH,14,20250306",3962
163,"KANSAS CITY,MO,16,20250306",3987
164,"BOSTON,MA,15,20250225",4014
165,"LAS VEGAS,NV,17,20250306",4036
166,"NORTH CHARLESTON,SC,15,20250228",4061
167,"ABERDEEN,MD,18,20250222",4093
168,"FRESNO,CA,17,20250125",4117
169,"EL PASO,TX,17,20241102",4139
170,"KINGSTREE,SC,15,20250307",4162
171,"ATLANTA,GA,15,20250304",4187
172,"MESQUITE,TX,15,20250223",4210
173,"BLACKWOOD,NJ,14,20250307",4234
174,"JACKSONVILLE,FL,17,20250228",4259
175,"WEST PALM BEACH,FL,14,20250302",4287
176,"KEY LARGO,FL,13,20250222",4318
177,"CATONSVILLE,MD,14,20250224",4343
178,"JACKSON,MS,19,20250301",4370
179,"TAMPA,FL,15,20250227",4393
180,"SPOKANE,WA,15,20250305",4414
181,"SAINT LOUIS,MO,14,20250305",4437
182,"BRAWLEY,CA,13,20250305",4464
183,"WILLOUGHBY,OH,16,20250207",4487
184,"PEORIA,IL,13,20250228",4513
185,"WILLSBORO,NY,16,20250304",4535
186,"WEST PALM BEACH,FL,17,20250301",4560
187,"KATY,TX,17,20241225",4591
188,"MILWAUKEE,WI,15,20250121",4611
189,"GRAFTON,MA,16,20250303",4636
190,"INDIANAPOLIS,IN,17,20250220",4659
191,"ROSENBERG,TX,14,20250301",4687
192,"MESQUITE,TX,16,20250223",4712
193,"PALMETTO,FL,15,20250228",4736
194,"DAYTON,OH,16,20250302",4760
195,"TULSA,OK,17,20250301",4782
196,"ALEXANDRIA,KY,16,20250124",4803
197,"PROVIDENCE,RI,15,20250302",4829
198,"INDIANAPOLIS,IN,17,20250304",4855
199,"MUKWONAGO,WI,17,20240204",4883
200,"COLLINS,MO,17,20250302",4908
201,"BATON ROUGE,LA,14,20250227",4931
