city,state,age,dateMissing,state_code,city_code,cluster
GRAND RAPIDS,MI,16,20250316,23,467,2
WEST COVINA,CA,14,20250301,5,1307,0
LA CROSSE,WI,14,20250314,52,612,2
JACKSONVILLE,FL,17,20250223,10,563,2
SAINT ALBANS,VT,14,20250312,50,1054,0
CINCINNATI,OH,17,20250314,37,228,2
HYATTSVILLE,MD,15,20250306,21,547,2
PHILADELPHIA,PA,13,20250308,40,941,0
LEAVITTSBURG,OH,15,20250314,37,649,2
CINCINNATI,OH,17,20241225,37,228,2
NASHVILLE,TN,14,20250311,45,814,2
TAMPA,FL,16,20250317,10,1196,0
CITRUS HEIGHTS,CA,15,20241218,5,231,2
SAN FRANCISCO,CA,16,20250313,5,1079,0
FRESNO,CA,14,20250305,5,420,2
SYLVA,NC,16,20250317,29,1187,0
MOUNT VERNON,IL,17,20250214,15,798,0
ALBANY,NY,14,20250314,36,13,2
QUINCY,MA,31,20010413,20,986,0
ALEXANDRIA,VA,17,20250315,48,15,2
HUNTSVILLE,AL,16,20250312,2,545,0
LANCASTER,OH,17,20250315,37,634,2
OAKLAND,CA,16,20250311,5,876,0
DENVER,CO,17,20240101,6,307,2
RENO,NV,17,20241020,35,1006,0
CHATTANOOGA,TN,17,20250222,45,215,2
SALT LAKE CITY,UT,16,20250314,47,1072,0
MUNCIE,IN,9,20200111,16,805,0
PENSACOLA,FL,16,20250307,10,932,0
PHILADELPHIA,PA,15,20250311,40,941,0
ATLANTA,GA,15,20250305,11,54,2
INDIANAPOLIS,IN,14,20250315,16,553,2
TAMPA,FL,17,20240912,10,1196,0
ANSONIA,CT,6,20191129,7,38,2
SPRINGFIELD,MA,17,20241120,20,1165,0
DEARBORN HEIGHTS,MI,16,20250314,23,300,2
NICHOLASVILLE,KY,16,20250313,18,842,0
SALISBURY,MD,61,19810714,21,1070,1
PHOENIX,AZ,17,20250311,4,942,0
FLUSHING,NY,16,20250307,36,396,2
MEDFORD,MA,14,20250313,20,733,0
TOLEDO,OH,16,20250306,37,1219,0
CHERRY HILL,NJ,15,20250314,33,217,2
BUCKEYE,AZ,17,20250127,4,157,2
BRIDGEPORT,CT,17,20250314,7,141,2
LA PUENTE,CA,15,20250307,5,617,0
SAN ANTONIO,TX,15,20250305,46,1073,0
HOUSTON,TX,16,20250307,46,541,2
TULSA,OK,17,20250311,38,1236,0
SOUTH BEND,IN,15,20250301,16,1146,0
YOUNGSTOWN,OH,17,20250311,37,1362,0
LOUISVILLE,KY,14,20250305,18,684,0
GRIFFITH,IN,16,20250308,16,480,2
AUSTIN,TX,15,20250313,46,61,2
BRENTWOOD,CA,12,20250103,5,140,2
MARLBOROUGH,MA,14,20250311,20,720,0
LYNN,MA,15,20250212,20,696,0
LAS VEGAS,NV,17,20240604,35,638,2
SEATTLE,WA,18,20241221,51,1119,0
SAHUARITA,AZ,17,20240919,4,1053,0
TOLEDO,OH,15,20250303,37,1219,0
TOLEDO,OH,17,20250313,37,1219,0
LEBANON,TN,17,20250308,45,650,2
PHOENIX,AZ,16,20250226,4,942,0
CATONSVILLE,MD,16,20250310,21,191,2
OMAHA,NE,15,20250307,31,888,0
PORT LAVACA,TX,17,20250310,46,963,0
PHOENIX,AZ,15,20250312,4,942,0
RIVERDALE,IL,17,20250309,15,1022,0
AURORA,CO,15,20250228,6,60,2
BEAVER DAM,WI,16,20250202,52,80,2
PLYMOUTH,IN,16,20250216,16,957,0
NEW YORK,NY,16,20250312,36,835,0
CANTON,TX,14,20250310,46,178,2
WARWICK,RI,16,20250223,42,1289,0
NEENAH,WI,16,20250307,52,819,2
WAILUKU,HI,17,20250226,12,1279,0
LAS VEGAS,NV,16,20250202,35,638,2
LANCASTER,CA,16,20250304,5,634,0
DENVER,CO,16,20250305,6,307,2
CHICAGO,IL,16,20250312,15,219,2
TUCSON,AZ,14,20250227,4,1233,0
CLEVELAND,OH,18,20250306,37,239,2
MESA,AZ,17,20241203,4,741,0
BELMONT,NC,16,20250224,29,88,2
BRONX,NY,14,20250214,36,146,2
DENVER,CO,17,20250119,6,307,2
HOUSTON,TX,16,20250310,46,541,2
VAN NUYS,CA,16,20250214,5,1260,0
SPRINGFIELD,MA,16,20250311,20,1165,0
CINCINNATI,OH,16,20250309,37,228,2
LONG BEACH,CA,17,20241201,5,677,0
CENTRALIA,WA,16,20250308,51,200,2
LOS ANGELES,CA,17,20250226,5,682,0
MINNEAPOLIS,MN,14,20250213,24,763,0
KAPOLEI,HI,13,20250311,12,587,0
MEMPHIS,TN,16,20250309,45,736,2
MISSION,TX,17,20250303,46,765,2
CINCINNATI,OH,17,20250310,37,228,2
LAS VEGAS,NV,16,20250118,35,638,2
WOODLAND HILLS,CA,14,20250208,5,1344,0
PONDER,TX,16,20250224,46,961,0
FRESNO,CA,17,20250301,5,420,2
FRESNO,CA,15,20250227,5,420,2
WEBSTER,NY,17,20250308,36,1301,0
VICTORVILLE,CA,19,20071023,5,1270,0
ORANGE,CA,15,20250306,5,895,0
PRUDENVILLE,MI,15,20230628,23,980,0
MUSKOGEE,OK,14,20250227,38,808,0
CHAMPAIGN,IL,16,20250123,15,205,2
LYNWOOD,CA,17,20240801,5,698,0
DALLAS,TX,15,20250113,46,292,2
LANCASTER,CA,15,20250213,5,634,0
CLEVELAND,OH,17,20250127,37,239,2
FREDERICA,DE,17,20250228,9,413,2
YOUNGSTOWN,OH,17,20250220,37,1362,0
INDEPENDENCE,MO,16,20241221,25,551,2
KLAMATH FALLS,OR,15,20250226,39,606,2
CANYON,TX,17,20250305,46,180,2
TAMPA,FL,17,20250222,10,1196,0
INDIAN ORCHARD,MA,14,20250209,20,552,2
CHICAGO,IL,16,20250301,15,219,2
PRUDENVILLE,MI,16,20230628,23,980,0
LAKE VILLA,IL,16,20250308,15,630,0
TUSTIN,CA,17,20250307,5,1243,0
PHILADELPHIA,PA,14,20250305,40,941,0
