city,state,missing_kids,avg_age,avg_risk,num_hospitals,num_firestations,num_police,lat,lng,cluster
1CHAPARRAL               ,NM,1,23.0,0.0,0.0,0.0,0.0,,,1
1SPRING HILL             ,TN,1,17.0,0.0,0.0,0.0,0.0,,,1
1TULARE                  ,CA,1,16.0,0.0,0.0,0.0,0.0,,,1
ABBEVILLE                ,LA,1,16.0,0.0,0.0,0.0,0.0,,,1
ABERDEEN                 ,MD,1,18.0,0.0,0.0,0.0,0.0,,,1
ABERDEEN                 ,WA,1,45.0,0.0,0.0,0.0,0.0,,,0
ABILENE                  ,TX,2,17.0,0.0,0.0,0.0,0.0,,,1
ADA                      ,MI,1,58.0,0.0,0.0,0.0,0.0,,,0
ADA                      ,OK,1,16.0,0.0,0.0,0.0,0.0,,,1
ADDISON                  ,TX,2,54.5,0.0,0.0,0.0,0.0,,,0
ADELANTO                 ,CA,2,26.0,0.0,0.0,0.0,0.0,,,1
ADJUNTAS                 ,PR,1,50.0,0.0,0.0,0.0,0.0,,,0
AGUA PRIETA              ,  ,1,33.0,0.0,0.0,0.0,0.0,,,1
AIEA                     ,HI,1,5.0,0.0,0.0,0.0,0.0,,,1
AIKEN                    ,SC,2,31.0,0.0,0.0,0.0,0.0,,,1
AITKIN                   ,MN,1,56.0,0.0,0.0,0.0,0.0,,,0
AKRON                    ,OH,3,34.0,0.0,0.0,0.0,0.0,,,1
ALAMOGORDO               ,NM,1,28.0,0.0,0.0,0.0,0.0,,,1
ALBANY                   ,NY,5,28.0,0.0,0.0,0.0,0.0,,,1
ALBANY                   ,OR,1,71.0,0.0,0.0,0.0,0.0,,,0
ALBUQUERQUE              ,NM,8,39.0,0.0,0.0,0.0,0.0,,,1
ALEXANDRIA               ,KY,1,16.0,0.0,0.0,0.0,0.0,,,1
ALEXANDRIA               ,VA,7,20.857142857142858,0.0,0.0,0.0,0.0,,,1
ALFRED                   ,ME,1,57.0,0.0,0.0,0.0,0.0,,,0
